Tag,Text,code,title
H2,AF001-24,,
H3,Purchasing Management and Cost Reduction Methods,,
H2,AF002-15,,
H3,Cost Modelling for Telecommunications Services,,
H2,AF003-24,,
H3,Problem-Solving Skills Based on Accounting and Finance,,
H2,AF004-24,,
H3,Economic Feasibility Studies,,
H2,AF005-24,,
H3,Money Transfer in the Accounting System,,
H2,AF006-24,,
H3,"Accounting Cycle, its Principle and Practical, and Treating Accounting Errors",,
H2,AF007-24,,
H3,Developing the Professional Performance of Accountants in Accordance with International Standards.,,
H2,AF008-24,,
H3,The Role of the Internal Auditor in Improving the Internal Monitoring System,,
H2,AF009-24,,
H3,Preparing Final Accounts and Financial Statements,,
H2,AF010-24,,
H3,Accounting for Non-Accountants,,
H2,AF011-24,,
H3,Documentary Credits,,
H2,AF012-20,,
H3,Advanced Financial Analysis,,
H2,AF013-20,,
H3,Preparing and Managing Purchasing Brochures,,
H2,AF014-20,,
H3,Financial Planning and Preparation of Estimated Budgets,,
H2,AF015-24,,
H3,Accounting and Reading Financial Positions,,
H2,AF016-5,,
H3,The Road to Central Bank Digital Currency (CBDC),,
H2,AF024-25,,
H3,Preparing and Writing Financial Reports,,
H2,AF025-25,,
H3,Preparing Accounting Entries and Financial Statements,,
H2,AF026-25,,
H3,CPFA Certified Professional Financial Accountant,,
H2,AF027-25,,
H3,"Financial Analysis Skills, Preparing Budgets and Reviewing Final Accounts",,
H2,AF028-25,,
H3,Preparing Commercial and Technical Reports,,
H2,AF029-25,,
H3,"Reviewing Financial Statements, Documenting and Evaluating Internal Control Systems",,
H2,AF030-25,,
H3,International Standards for Financial Reporting,,
H2,AF048-60,,
H3,Developing the Professional Performance of Accountants in Accordance with International Standards,,
H2,AF049-18,,
H3,Preparation of Final Accounts and Financial Statements,,
H2,AF050-20,,
H3,"Advanced Procurement, Contracts Preparation and Negotiations",,
H2,AF051-25,,
H3,Customer Relationship Management,,
H2,AF034-25,,
H3,Contemporary Strategies in Procurement and Bidding,,
H2,AF035-25,,
H3,Revenue Management and Collection Specialist,,
H2,AF036-25,,
H3,Developing the Accounting Skills of Employees in the Payments and Expenses Departments,,
H2,AF033-25,,
H3,Skills in Preparing Financial Plans and Measuring Financial Performance,,
H2,AF032-25,,
H3,Best Practices Used in the Work Mechanism of Financial Planning and Analysis Departments in Telecommunications Companies,,
H2,AF037-25,,
H3,Modern Trends to Increase the Efficiency of Internal Auditor Performance,,
H2,AF038-25,,
H3,"Preparing Financial Statements in Accordance with International Accounting Standards (IAS, IFRS)",,
H2,AF039-25,,
H3,Financial Auditing and Methods for Detecting Fraud and Violations,,
H2,AF040-25,,
H3,Rules for Financial Review and Internal Audit Skills,,
H2,AF041-25,,
H3,Business Case Analysis for Telecommunications,,
H2,AF042-30,,
H3,Fundamentals of Finance and Accounting for Non-financial Individuals,,
H2,AF043-25,,
H3,Basics of Financial Technology,,
H2,AF044-40,,
H3,Electronic Financial and Banking Services and Products,,
H2,AF045-25,,
H3,Modern Trends to Increase the Efficiency of the Performance of Accountants and Financial Controllers,,
H2,AF047-25,,
H3,محاسبة وإدارة المشروعات تحت التنفيذ و الأصول الثابتة طبقاً للمعايير الحديثة وبإستخدام نظام الجرد المستمر,,
H2,AF046-25,,
H3,Financial audit and correction of violations and deviations,,
H2,AF052-10,,
H3,Modern skills in internal auditing,,
H2,AF053-25,,
H3,المعايير العالمية الحديثة في التدقيق الداخلي,,
H2,AF055-25,,
H3,Modern methods in preparing financial statements,,
H2,AF057-25,,
H3,"Excellence in warehouse management, storage safety and technology to improve inventory lists",,
H2,AF058-25,,
H3,التحليل المالي المتقدم للقوائم المالية,,
H2,AF059-25,,
H3,مدقق داخلي معتمد (I -CIA),,
H2,AF060-25,,
H3,Cost Modelling,,
H2,AF061-25,,
H3,تحديث التطبيقات المحاسبية وفق متطلبات IAS   وتحت مظلة IFRS,,
H2,AF062-25,,
H3,احتساب الضرائب والضمان والتضامن وفقا للقوانيين الليبية,,
H2,AF063-25,,
H3,Business Data Analytics (IIBA - CBDA),,
,,h2 (AF001-24),h3 (Purchasing Management and Cost Reduction Methods)
,,h2 (AF002-15),h3 (Cost Modelling for Telecommunications Services)
,,h2 (AF003-24),h3 (Problem-Solving Skills Based on Accounting and Finance)
,,h2 (AF004-24),h3 (Economic Feasibility Studies)
,,h2 (AF005-24),h3 (Money Transfer in the Accounting System)
,,h2 (AF006-24),"h3 (Accounting Cycle, its Principle and Practical, and Treating Accounting Errors)"
,,h2 (AF007-24),h3 (Developing the Professional Performance of Accountants in Accordance with International Standards.)
,,h2 (AF008-24),h3 (The Role of the Internal Auditor in Improving the Internal Monitoring System)
,,h2 (AF009-24),h3 (Preparing Final Accounts and Financial Statements)
,,h2 (AF010-24),h3 (Accounting for Non-Accountants)
,,h2 (AF011-24),h3 (Documentary Credits)
,,h2 (AF012-20),h3 (Advanced Financial Analysis)
,,h2 (AF013-20),h3 (Preparing and Managing Purchasing Brochures)
,,h2 (AF014-20),h3 (Financial Planning and Preparation of Estimated Budgets)
,,h2 (AF015-24),h3 (Accounting and Reading Financial Positions)
,,h2 (AF016-5),h3 (The Road to Central Bank Digital Currency (CBDC))
,,h2 (AF024-25),h3 (Preparing and Writing Financial Reports)
,,h2 (AF025-25),h3 (Preparing Accounting Entries and Financial Statements)
,,h2 (AF026-25),h3 (CPFA Certified Professional Financial Accountant)
,,h2 (AF027-25),"h3 (Financial Analysis Skills, Preparing Budgets and Reviewing Final Accounts)"
,,h2 (AF028-25),h3 (Preparing Commercial and Technical Reports)
,,h2 (AF029-25),"h3 (Reviewing Financial Statements, Documenting and Evaluating Internal Control Systems)"
,,h2 (AF030-25),h3 (International Standards for Financial Reporting)
,,h2 (AF048-60),h3 (Developing the Professional Performance of Accountants in Accordance with International Standards)
,,h2 (AF049-18),h3 (Preparation of Final Accounts and Financial Statements)
,,h2 (AF050-20),"h3 (Advanced Procurement, Contracts Preparation and Negotiations)"
,,h2 (AF051-25),h3 (Customer Relationship Management)
,,h2 (AF034-25),h3 (Contemporary Strategies in Procurement and Bidding)
,,h2 (AF035-25),h3 (Revenue Management and Collection Specialist)
,,h2 (AF036-25),h3 (Developing the Accounting Skills of Employees in the Payments and Expenses Departments)
,,h2 (AF033-25),h3 (Skills in Preparing Financial Plans and Measuring Financial Performance)
,,h2 (AF032-25),h3 (Best Practices Used in the Work Mechanism of Financial Planning and Analysis Departments in Telecommunications Companies)
,,h2 (AF037-25),h3 (Modern Trends to Increase the Efficiency of Internal Auditor Performance)
,,h2 (AF038-25),"h3 (Preparing Financial Statements in Accordance with International Accounting Standards (IAS, IFRS))"
,,h2 (AF039-25),h3 (Financial Auditing and Methods for Detecting Fraud and Violations)
,,h2 (AF040-25),h3 (Rules for Financial Review and Internal Audit Skills)
,,h2 (AF041-25),h3 (Business Case Analysis for Telecommunications)
,,h2 (AF042-30),h3 (Fundamentals of Finance and Accounting for Non-financial Individuals)
,,h2 (AF043-25),h3 (Basics of Financial Technology)
,,h2 (AF044-40),h3 (Electronic Financial and Banking Services and Products)
,,h2 (AF045-25),h3 (Modern Trends to Increase the Efficiency of the Performance of Accountants and Financial Controllers)
,,h2 (AF047-25),h3 (محاسبة وإدارة المشروعات تحت التنفيذ و الأصول الثابتة طبقاً للمعايير الحديثة وبإستخدام نظام الجرد المستمر)
,,h2 (AF046-25),h3 (Financial audit and correction of violations and deviations)
,,h2 (AF052-10),h3 (Modern skills in internal auditing)
,,h2 (AF053-25),h3 (المعايير العالمية الحديثة في التدقيق الداخلي)
,,h2 (AF055-25),h3 (Modern methods in preparing financial statements)
,,h2 (AF057-25),"h3 (Excellence in warehouse management, storage safety and technology to improve inventory lists)"
,,h2 (AF058-25),h3 (التحليل المالي المتقدم للقوائم المالية)
,,h2 (AF059-25),h3 (مدقق داخلي معتمد (I -CIA))
,,h2 (AF060-25),h3 (Cost Modelling)
,,h2 (AF061-25),h3 (تحديث التطبيقات المحاسبية وفق متطلبات IAS   وتحت مظلة IFRS)
,,h2 (AF062-25),h3 (احتساب الضرائب والضمان والتضامن وفقا للقوانيين الليبية)
,,h2 (AF063-25),h3 (Business Data Analytics (IIBA - CBDA))
,,h2 (AF001-24),h3 (Purchasing Management and Cost Reduction Methods)
,,h2 (AF002-15),h3 (Cost Modelling for Telecommunications Services)
,,h2 (AF003-24),h3 (Problem-Solving Skills Based on Accounting and Finance)
,,h2 (AF004-24),h3 (Economic Feasibility Studies)
,,h2 (AF005-24),h3 (Money Transfer in the Accounting System)
,,h2 (AF006-24),"h3 (Accounting Cycle, its Principle and Practical, and Treating Accounting Errors)"
,,h2 (AF007-24),h3 (Developing the Professional Performance of Accountants in Accordance with International Standards.)
,,h2 (AF008-24),h3 (The Role of the Internal Auditor in Improving the Internal Monitoring System)
,,h2 (AF009-24),h3 (Preparing Final Accounts and Financial Statements)
,,h2 (AF010-24),h3 (Accounting for Non-Accountants)
,,h2 (AF011-24),h3 (Documentary Credits)
,,h2 (AF012-20),h3 (Advanced Financial Analysis)
,,h2 (AF013-20),h3 (Preparing and Managing Purchasing Brochures)
,,h2 (AF014-20),h3 (Financial Planning and Preparation of Estimated Budgets)
,,h2 (AF015-24),h3 (Accounting and Reading Financial Positions)
,,h2 (AF016-5),h3 (The Road to Central Bank Digital Currency (CBDC))
,,h2 (AF024-25),h3 (Preparing and Writing Financial Reports)
,,h2 (AF025-25),h3 (Preparing Accounting Entries and Financial Statements)
,,h2 (AF026-25),h3 (CPFA Certified Professional Financial Accountant)
,,h2 (AF027-25),"h3 (Financial Analysis Skills, Preparing Budgets and Reviewing Final Accounts)"
,,h2 (AF028-25),h3 (Preparing Commercial and Technical Reports)
,,h2 (AF029-25),"h3 (Reviewing Financial Statements, Documenting and Evaluating Internal Control Systems)"
,,h2 (AF030-25),h3 (International Standards for Financial Reporting)
,,h2 (AF048-60),h3 (Developing the Professional Performance of Accountants in Accordance with International Standards)
,,h2 (AF049-18),h3 (Preparation of Final Accounts and Financial Statements)
,,h2 (AF050-20),"h3 (Advanced Procurement, Contracts Preparation and Negotiations)"
